Country,Individual Funding - A,Individual Funding - D,Bachelor’s - A,Bachelor’s - D,Master’s - A,Master’s - D,Doctoral - A,Doctoral - D,Academics/Teachers - A,Academics/Teachers - D,Project Funding - A,Project Funding - D,EU Mobility - A,EU Mobility - D,Total Funding - A,Total Funding - D,Grand Total (A+D)
Argentina,213,77,96,33,19,21,67,4,31,19,538,303,22,29,773,409,"1,182"
Bahamas,1,1,,1,,,,,1,,2,32,6,6,3,1,4
Belize,18,1,7,5,7,9,3,1,1,2,111,415,14,25,135,1,4
Bolivia,443,8,151,,109,6,139,1,44,8,573,210,17,20,"1,030",46,"1,564"
Brazil,155,94,32,42,21,17,95,8,7,27,345,62,4,12,517,534,"1,564"
Chile,38,59,2,38,13,1,22,4,1,3,75,40,8,1,117,289,406
Costa Rica,8,31,7,20,7,17,29,2,9,2,10,110,15,8,18,105,123
Dominican Republic,64,4,6,4,19,1,2,2,1,9,406,110,3,8,478,45,612
Ecuador,21,16,117,11,13,9,6,5,84,4,21,4,29,22,42,134,176
El Salvador,21,2,3,2,14,1,9,4,16,14,53,7,7,6,74,7,81
Grenada,1,2,2,2,1,1,3,2,1,1,1,4,7,1,2,9,11
Guatemala,1,2,3,2,1,1,9,2,3,1,4,7,7,1,5,9,14
Guyana,31,2,7,2,22,2,3,5,1,9,32,4,8,3,63,6,69
Haiti,3,2,,,,1,1,2,1,3,8,9,2,9,11,14,25
Honduras,525,68,117,37,230,2,94,2,84,13,"1,942",357,2,51,"2,482",447,"2,929"
Jamaica,38,13,3,4,14,3,8,2,16,4,581,152,6,1,622,171,793
Colombia,403,90,222,56,79,9,78,11,24,14,541,452,29,12,973,593,"1,566"
Cuba,32,11,3,9,25,2,3,2,1,1,55,6,5,1,94,17,111
Mexico,403,90,117,56,79,9,78,11,24,14,541,452,7,51,973,593,"1,566"
Nicaragua,32,11,3,9,25,2,3,2,1,1,55,6,5,1,94,17,111
Panama,5,6,7,1,25,1,3,2,1,1,23,2,2,1,39,28,67
Paraguay,16,4,7,1,25,3,18,2,3,2,16,9,1,3,39,14,53
Peru,49,32,117,23,25,41,78,11,24,14,382,126,50,48,439,126,565
Saint Kitts & Nevis,1,1,,,1,,3,,1,,2,17,,3,5,1,6
Saint Lucia,1,2,,,1,1,,2,3,3,39,2,,3,5,1,6
Trinidad & Tobago,20,11,3,9,25,2,3,2,1,1,72,17,3,3,65,28,93
Uruguay,11,6,7,2,25,3,18,2,3,2,72,17,3,3,65,28,93
Venezuela,"2,119",529,655,295,644,90,596,46,224,98,"5,832","2,281",148,200,"8,099","3,010","11,109"
TOTAL,"2,119",529,655,295,644,90,596,46,224,98,"5,832","2,281",148,200,"8,099","3,010","11,109"
