year,field,germans_male,germans_female,germans_total,foreigners_male,foreigners_female,foreigners_total,total_male,total_female,general_total
2013,Waste Management,64,32,96,9,4,13,73,36,109
2013,African Studies,384,783,1167,185,178,363,569,961,1530
2013,Agricultural Biology,155,264,419,97,87,184,252,351,603
2013,Agricultural Economics,728,548,1276,208,173,381,936,721,1657
2013,Agricultural Science/Agriculture,7836,7238,15074,981,773,1754,8817,8011,16828
2013,Egyptology,133,336,469,23,43,66,156,379,535
2013,General Linguistics/Indo-European Studies,1278,3976,5254,261,854,1115,1539,4830,6369
2013,General Literary Studies,874,2964,3838,165,526,691,1039,3490,4529
2013,Ancient History,177,132,309,21,15,36,198,147,345
2013,American Studies,914,2060,2974,170,465,635,1084,2525,3609
2013,Applied Art,1366,2158,3524,204,299,503,1570,2457,4027
2013,Applied Linguistics,866,3781,4647,252,889,1141,1118,4670,5788
2013,Applied Systems Science,1568,307,1875,371,127,498,1939,434,2373
2013,English Studies,12222,30784,43006,983,3277,4260,13205,34061,47266
2013,Anthropology (Human Biology),265,565,830,70,107,177,335,672,1007
2013,Arabic/Arabic Studies,209,334,543,73,51,124,282,385,667
2013,Work Studies/Business Studies,825,1197,2022,23,49,72,848,1246,2094
2013,Occupational Guidance and Career Counselling,33,136,169,,1,1,33,137,170
2013,Labour Administration,194,490,684,2,4,6,196,494,690
2013,Archaeology,2304,2853,5157,178,286,464,2482,3139,5621
2013,Archaeometry (Archaeological Engineering),23,15,38,,,,23,15,38
2013,Architecture,13096,15681,28777,2811,3851,6662,15907,19532,35439
2013,Archive and Documentation Science,121,204,325,13,30,43,134,234,368
2013,Archive Studies,122,146,268,3,5,8,125,151,276
2013,Asian Languages and Cultures/Asian Studies,651,1135,1786,136,294,430,787,1429,2216
2013,Astrophysics and Astronomy,210,58,268,115,70,185,325,128,453
2013,Ophthalmic Optics,214,552,766,23,29,52,237,581,818
2013,Immigrant Education,16,122,138,23,52,75,39,174,213
2013,Non-Europ. Lang. and Cult. in Oceania and America,99,160,259,29,58,87,128,218,346
2013,Foreign Affairs Administration,56,92,148,,,,56,92,148
2013,Baltic Studies,7,5,12,,2,2,7,7,14
2013,Banking,354,244,598,2,2,4,356,246,602
2013,Civil Engineering/Structural Engineering,31907,11962,43869,5649,2209,7858,37556,14171,51727
2013,Mining/Mine Engineering,1241,179,1420,301,78,379,1542,257,1799
2013,Occupation-specific Foreign Language Training,447,1239,1686,78,229,307,525,1468,1993
2013,"Vocational, Business and Economics Education",648,693,1341,65,87,152,713,780,1493
2013,Business Administration,105306,94853,200159,9677,12758,22435,114983,107611,222594
2013,Librarianship,13,20,33,,,,13,20,33
2013,Fine Arts/Graphics,1245,1540,2785,341,599,940,1586,2139,3725
2013,Sculpting/Statuary Art,172,201,373,57,103,160,229,304,533
2013,Biochemistry,3123,3760,6883,380,423,803,3503,4183,7686
2013,Bioinformatics,1137,584,1721,194,147,341,1331,731,2062
2013,Biology,16839,29749,46588,2219,3250,5469,19058,32999,52057
2013,Biomedicine,477,820,1297,157,216,373,634,1036,1670
2013,Biotechnology,4762,5462,10224,534,567,1101,5296,6029,11325
2013,Ed.of Blind a.Visually Imp.(cl.w.SF190 since 2016),9,24,33,,2,2,9,26,35
2013,Brewing Science/Beverage Technology,664,84,748,50,43,93,714,127,841
2013,Armed Forces Administration,114,134,248,,,,114,134,248
2013,Byzantine Studies,14,17,31,14,3,17,28,20,48
2013,Caritas Science,24,60,84,13,14,27,37,74,111
2013,Chemistry,23499,14625,38124,2689,2416,5105,26188,17041,43229
2013,Chemical Engineering/Chemical Process Technology,5715,2881,8596,672,642,1314,6387,3523,9910
2013,Computer Linguistics,607,439,1046,156,272,428,763,711,1474
2013,Computer and Communication Technology,2138,1004,3142,408,162,570,2546,1166,3712
2013,Danish,21,57,78,,,,21,57,78
2013,Performing Arts/Stagecraft/Directing,341,741,1082,139,240,379,480,981,1461
2013,German as a Foreign or Second Language,200,1321,1521,255,954,1209,455,2275,2730
2013,Pastoral Care Studies,81,127,208,7,7,14,88,134,222
2013,Conducting,110,38,148,91,66,157,201,104,305
2013,Printing and Reproduction Technology,1460,942,2402,175,169,344,1635,1111,2746
2013,Gemstone and Jewellery Design,9,80,89,7,36,43,16,116,132
2013,Electrical Power Engineering,2070,262,2332,376,77,453,2446,339,2785
2013,Electrical Engineering/Electronics,49651,4278,53929,12376,2655,15031,62027,6933,68960
2013,Energy Process Engineering,7038,1395,8433,833,266,1099,7871,1661,9532
2013,Nutritional Science,297,2217,2514,35,158,193,332,2375,2707
2013,Adult Education and Extracurricular Youth Educat.,513,1632,2145,36,138,174,549,1770,2319
2013,Ed.of People w.Emot.Diff. (cl.w. SF190 since 2016),124,632,756,2,23,25,126,655,781
2013,Educational Science (Pedagogy),12797,45380,58177,670,3555,4225,13467,48935,62402
2013,Ethics,263,541,804,19,31,50,282,572,854
2013,Ethnology,1100,3190,4290,160,363,523,1260,3553,4813
2013,European Ethnology and Cultural Studies,592,2079,2671,181,399,580,773,2478,3251
2013,European Economic Studies,1999,1955,3954,113,223,336,2112,2178,4290
2013,"Protestant Religious Pedagogy, Church Educat. Work",223,519,742,10,10,20,233,529,762
2013,"Protestant Theology, Protes. Religious Education",4434,6792,11226,392,243,635,4826,7035,11861
2013,Facility Management,1606,1041,2647,76,67,143,1682,1108,2790
2013,Automotive Technology,10747,597,11344,1800,224,2024,12547,821,13368
2013,Precision Engineering,733,49,782,133,14,147,866,63,929
2013,Manufacturing Technology/Production Engineering,6186,777,6963,1232,204,1436,7418,981,8399
2013,Film and Television Studies,1193,941,2134,144,197,341,1337,1138,2475
2013,Financial Administration,716,953,1669,1,6,7,717,959,1676
2013,Finno-Ugrian Studies,28,142,170,6,27,33,34,169,203
2013,"Forest Science, Forestry",3455,1601,5056,370,290,660,3825,1891,5716
2013,French,1182,6048,7230,166,659,825,1348,6707,8055
2013,Horticulture,988,741,1729,79,86,165,1067,827,1894
2013,Ed.of Deaf a.Hearing Imp. (cl.w. SF190 since 2016),39,331,370,3,13,16,42,344,386
2013,Ed.Ment.Disabl./Pract.Work(cl.w. SF190 since 2016),290,1016,1306,3,9,12,293,1025,1318
2013,Geography,11115,9855,20970,514,571,1085,11629,10426,22055
2013,Geology/Palaeontology,494,292,786,138,100,238,632,392,1024
2013,Geoecology,407,492,899,28,23,51,435,515,950
2013,Geophysics,1612,1771,3383,103,86,189,1715,1857,3572
2013,Geosciences general,6602,4035,10637,640,464,1104,7242,4499,11741
2013,German Studies/German,16730,53833,70563,1890,7561,9451,18620,61394,80014
2013,Singing,278,552,830,232,332,564,510,884,1394
2013,History,18767,14262,33029,1138,1372,2510,19905,15634,35539
2013,Health Education,437,2470,2907,6,64,70,443,2534,2977
2013,Health Technology,4974,3756,8730,851,526,1377,5825,4282,10107
2013,Health Science/Health Management,7465,16963,24428,441,967,1408,7906,17930,25836
2013,Glass Technology/Ceramics,198,78,276,13,3,16,211,81,292
2013,Graphic Design/Communication Design,6554,8701,15255,645,1236,1881,7199,9937,17136
2013,Greek,242,240,482,35,75,110,277,315,592
2013,Primary School Education/Primary Level Education,546,3312,3858,13,84,97,559,3396,3955
2013,Domestic and Nutritional Sciences,1198,5400,6598,92,344,436,1290,5744,7034
2013,Domestic Science,46,205,251,,8,8,46,213,259
2013,Wood and Fibre Technology,948,141,1089,41,15,56,989,156,1145
2013,Timber Construction,626,109,735,12,3,15,638,112,750
2013,Wood Science,272,102,374,23,15,38,295,117,412
2013,Metallurgy and Foundry,577,113,690,230,112,342,807,225,1032
2013,Indology,71,115,186,18,26,44,89,141,230
2013,Industrial Design/Product Design,1700,1458,3158,227,289,516,1927,1747,3674
2013,Computer Science,64710,10219,74929,10030,3306,13336,74740,13525,88265
2013,Inf./Library Scien. (not at univ. of app.adm.sci.),706,2234,2940,45,141,186,751,2375,3126
2013,Computational Engineer./Technical Computer Science,7216,864,8080,1138,311,1449,8354,1175,9529
2013,Interior Architecture,405,2593,2998,71,329,400,476,2922,3398
2013,Internal Administration,1661,2906,4567,9,55,64,1670,2961,4631
2013,Instrumental Music,1462,1357,2819,1720,2525,4245,3182,3882,7064
2013,Interdisc. Studies (specialising in Engineering),10620,3176,13796,1503,705,2208,12123,3881,16004
2013,Interdisc. Studies (special. in Natural Sciences),1907,2014,3921,441,375,816,2348,2389,4737
2013,"Interdisc. St. (spec. in Law, Econ. and Soc. Sci.)",4976,6122,11098,529,1008,1537,5505,7130,12635
2013,Interdisc. Studies (spec. in Humanities),5297,14185,19482,851,2301,3152,6148,16486,22634
2013,"Interdisc. Studies (special. in Art, Art Theory)",220,566,786,44,102,146,264,668,932
2013,International Business Studies/Management,14704,18670,33374,4035,4894,8929,18739,23564,42303
2013,Iranian Studies,59,82,141,23,46,69,82,128,210
2013,Islamic Studies,601,1209,1810,238,305,543,839,1514,2353
2013,Italian,233,995,1228,88,367,455,321,1362,1683
2013,Japanese Studies,1328,1842,3170,111,269,380,1439,2111,3550
2013,Jazz and Popular Music,853,245,1098,110,47,157,963,292,1255
2013,Judaic Studies/Hebrew,210,401,611,32,71,103,242,472,714
2013,Law Enforcement,66,54,120,,,,66,54,120
2013,Cartography,372,218,590,77,69,146,449,287,736
2013,"Catholic Religious Pedagogy, Church Educat. Work",137,240,377,1,11,12,138,251,389
2013,"Catholic Theology, Catholic Religious Education",3361,4373,7734,474,188,662,3835,4561,8396
2013,Caucasian Studies,,1,1,1,2,3,1,3,4
2013,Nucl.Techn./Nucl.Process Techn.(cl.w.SF211 s.2020),25,6,31,6,2,8,31,8,39
2013,Church Music,255,141,396,47,61,108,302,202,504
2013,Classical Philology,212,290,502,36,53,89,248,343,591
2013,"Communication Technology, Information Engineering",5880,699,6579,1901,437,2338,7781,1136,8917
2013,Communication Science/Journalism,5017,9888,14905,307,1108,1415,5324,10996,16320
2013,Composition,134,33,167,125,75,200,259,108,367
2013,Ed.of Physically Disabled (cl.w. SF190 since 2016),108,301,409,1,3,4,109,304,413
2013,Arts Education,974,4379,5353,112,303,415,1086,4682,5768
2013,"Art History, Art Theory",1983,8809,10792,243,1125,1368,2226,9934,12160
2013,Plastics Technology,1224,219,1443,131,29,160,1355,248,1603
2013,Land Management Engineering/Landscape Design,2075,2470,4545,102,188,290,2177,2658,4835
2013,Landscape Ecology/Biogeography (ex. SF385 s. 2012),572,800,1372,23,34,57,595,834,1429
2013,Latin,1650,2493,4143,43,82,125,1693,2575,4268
2013,Latin America Studies,162,458,620,35,82,117,197,540,737
2013,Food Chemistry,677,1729,2406,36,108,144,713,1837,2550
2013,Food Technology,1805,2427,4232,98,184,282,1903,2611,4514
2013,Ed. of P.w.Learning Diff. (cl.w. SF190 since 2016),900,3271,4171,5,67,72,905,3338,4243
2013,Area of study: Humanities,375,2267,2642,3,62,65,378,2329,2707
2013,Area of study: Social Studies,181,284,465,4,22,26,185,306,491
2013,Area of study: Natural Sciences/General Studies,206,696,902,5,23,28,211,719,930
2013,Area of study: Technology,566,283,849,13,6,19,579,289,868
2013,Aeronautical and Aerospace Engineering,5220,643,5863,695,118,813,5915,761,6676
2013,Painting,187,227,414,75,95,170,262,322,584
2013,Mine Surveying,15,9,24,1,2,3,16,11,27
2013,Mechanical Engineering,91518,9465,100983,13391,2399,15790,104909,11864,116773
2013,Math.Statistics/Prob.Calc. (class.w. SF312 s.2020),938,758,1696,154,171,325,1092,929,2021
2013,Mathematics,28814,26705,55519,2621,2278,4899,31435,28983,60418
2013,Mechatronics,13000,958,13958,2193,252,2445,15193,1210,16403
2013,Media Informatics,10201,3993,14194,819,482,1301,11020,4475,15495
2013,Media Technology,3396,2003,5399,178,122,300,3574,2125,5699
