year,degree,foreign_female_by_degree
2024,Administration of Justice,2
2024,Administrative Science/Public Administration,348
2024,Adult Education and Extracurricular Youth Educat.,100
2024,Aeronautical and Aerospace Engineering,419
2024,African Studies,169
2024,Agricultural Biology,308
2024,Agricultural Economics,361
2024,Agricultural Science/Agriculture,1253
2024,American Studies,830
2024,Ancient History,18
2024,Animal Production,10
2024,Anthropology (Human Biology),173
2024,Applied Art,383
2024,Applied Linguistics,747
2024,Applied Social Science,1015
2024,Applied Systems Science,442
2024,Arabic/Arabic Studies,81
2024,Archaeology,347
2024,Archaeometry (Archaeological Engineering),1
2024,Architecture,4526
2024,Archive and Documentation Science,13
2024,Archive Studies,4
2024,Area of study: Humanities,176
2024,Area of study: Natural Sciences/General Studies,89
2024,Area of study: Social Studies,4
2024,Area of study: Technology,4
2024,Armed Forces Administration,
2024,"Art History, Art Theory",950
2024,Arts Education,431
2024,Asian Languages and Cultures/Asian Studies,448
2024,Astrophysics and Astronomy,138
2024,Automotive Technology,287
2024,Baltic Studies,1
2024,Banking,36
2024,Biochemistry,1318
2024,Bioinformatics,535
2024,Biology,6327
2024,Biomedicine,587
2024,Biotechnology,2154
2024,Brewing Science/Beverage Technology,19
2024,Business Administration,17770
2024,Business and Economics,7934
2024,Business and Economics Education,193
2024,Business Engineering spec. in Engineering Sciences,4057
2024,Business Engineering specialising in Economics,1121
2024,Business Informatics,4701
2024,Business Law,1266
2024,Business Mathematics,669
2024,Byzantine Studies,12
2024,Caritas Science,8
2024,Cartography,75
2024,"Catholic Religious Pedagogy, Church Educat. Work",91
2024,"Catholic Theology, Catholic Religious Education",131
2024,Caucasian Studies,2
2024,Chemical Engineering/Chemical Process Technology,939
2024,Chemistry,4072
2024,Church Music,49
2024,Civil Engineering/Structural Engineering,3668
2024,Classical Philology,27
2024,Communication Science/Journalism,1141
2024,Communication Studies (cl. with SF303 since 2008),
2024,"Communication Technology, Information Engineering",1103
2024,Composition,117
2024,Computational Engineer./Technical Computer Science,1450
2024,Computer and Communication Technology,825
2024,Computer Linguistics,820
2024,Computer Science,12453
2024,Conducting,70
2024,Customs and Tax Administration,29
2024,Czech,13
2024,Dairy Farming,13
2024,Dance Education,138
2024,Danish,1
2024,Dentistry,1322
2024,Domestic and Nutritional Sciences,375
2024,Domestic Science,
2024,Drama Studies,112
2024,Dutch,21
2024,Early Childhood Education,282
