year,field,foreign_female_by_field
2013,Waste Management,4
2013,African Studies,178
2013,Agricultural Biology,87
2013,Agricultural Economics,173
2013,Agricultural Science/Agriculture,773
2013,Egyptology,43
2013,General Linguistics/Indo-European Studies,854
2013,General Literary Studies,526
2013,Ancient History,15
2013,American Studies,465
2013,Applied Art,299
2013,Applied Linguistics,889
2013,Applied Systems Science,127
2013,English Studies,3277
2013,Anthropology (Human Biology),107
2013,Arabic/Arabic Studies,51
2013,Work Studies/Business Studies,49
2013,Occupational Guidance and Career Counselling,1
2013,Labour Administration,4
2013,Archaeology,286
2013,Archaeometry (Archaeological Engineering),
2013,Architecture,3851
2013,Archive and Documentation Science,30
2013,Archive Studies,5
2013,Asian Languages and Cultures/Asian Studies,294
2013,Astrophysics and Astronomy,70
2013,Ophthalmic Optics,29
2013,Immigrant Education,52
2013,Non-Europ. Lang. and Cult. in Oceania and America,58
2013,Foreign Affairs Administration,
2013,Baltic Studies,2
2013,Banking,2
2013,Civil Engineering/Structural Engineering,2209
2013,Mining/Mine Engineering,78
2013,Occupation-specific Foreign Language Training,229
2013,"Vocational, Business and Economics Education",87
2013,Business Administration,12758
2013,Librarianship,
2013,Fine Arts/Graphics,599
2013,Sculpting/Statuary Art,103
2013,Biochemistry,423
2013,Bioinformatics,147
2013,Biology,3250
2013,Biomedicine,216
2013,Biotechnology,567
2013,Ed.of Blind a.Visually Imp.(cl.w.SF190 since 2016),2
2013,Brewing Science/Beverage Technology,43
2013,Armed Forces Administration,
2013,Byzantine Studies,3
2013,Caritas Science,14
2013,Chemistry,2416
2013,Chemical Engineering/Chemical Process Technology,642
2013,Computer Linguistics,272
2013,Computer and Communication Technology,162
2013,Danish,
2013,Performing Arts/Stagecraft/Directing,240
2013,German as a Foreign or Second Language,954
2013,Pastoral Care Studies,7
2013,Conducting,66
2013,Printing and Reproduction Technology,169
2013,Gemstone and Jewellery Design,36
2013,Electrical Power Engineering,77
2013,Electrical Engineering/Electronics,2655
2013,Energy Process Engineering,266
2013,Nutritional Science,158
2013,Adult Education and Extracurricular Youth Educat.,138
2013,Ed.of People w.Emot.Diff. (cl.w. SF190 since 2016),23
2013,Educational Science (Pedagogy),3555
2013,Ethics,31
2013,Ethnology,363
2013,European Ethnology and Cultural Studies,399
2013,European Economic Studies,223
