country,iso3,year,wb_attendance_ratio,daad_female_scholarships,share_scholarships_vs_enrollment
Argentina,ARG,2013,98.1933822631836,746,7.5972533261002
Brazil,BRA,2013,51.0449104309082,2861,56.04868293132778
Chile,CHL,2013,84.185920715332,603,7.1627178853219
Colombia,COL,2013,53.9592590332031,495,9.173587793253581
Costa Rica,CRI,2013,53.7388305664062,136,2.530758458391497
Cuba,CUB,2013,60.5696716308594,137,2.26185806049839
Dominican Republic,DOM,2013,,173,
Ecuador,ECU,2013,,338,
El Salvador,SLV,2013,30.3020896911621,123,4.059125996048852
Guatemala,GTM,2013,20.1786098480225,141,6.987597315273826
Honduras,HND,2013,22.6361999511719,126,5.566305310599487
Mexico,MEX,2013,30.025239944458,1187,39.53340596763804
Nicaragua,NIC,2013,18.1024322509766,121,6.6841846621727985
Panama,PAN,2013,,130,
Paraguay,PRY,2013,,135,
Peru,PER,2013,,460,
Uruguay,URY,2013,,133,
Argentina,ARG,2014,101.44214630127,799,7.876410635349471
Brazil,BRA,2014,54.4021911621094,2173,39.94324407862221
Chile,CHL,2014,88.3447723388672,652,7.3801763560960945
Colombia,COL,2014,56.8097686767578,563,9.910267426072735
Costa Rica,CRI,2014,57.1506309509277,147,2.572150080481549
Cuba,CUB,2014,,146,
Dominican Republic,DOM,2014,60.9120597839355,183,3.004331172663169
Ecuador,ECU,2014,,345,
El Salvador,SLV,2014,29.6984405517578,127,4.276318811375538
Guatemala,GTM,2014,19.3986492156982,143,7.371647294095014
Honduras,HND,2014,22.8545894622803,127,5.556870763730125
Mexico,MEX,2014,30.9848003387451,968,31.241124338941102
Nicaragua,NIC,2014,18.9397869110107,122,6.441466346650127
Panama,PAN,2014,55.3966789245605,131,2.364762699554544
Paraguay,PRY,2014,,136,
Peru,PER,2014,,467,
Uruguay,URY,2014,,136,
Argentina,ARG,2015,105.110038757324,976,9.285506993802652
Brazil,BRA,2015,55.4103889465332,3083,55.63938565699042
Chile,CHL,2015,91.1619186401367,727,7.974821184598422
Colombia,COL,2015,58.8032112121582,534,9.081136709921545
Costa Rica,CRI,2015,59.3170700073242,152,2.5625001366593416
Cuba,CUB,2015,42.4466781616211,155,3.6516402864275475
Dominican Republic,DOM,2015,66.9892501831055,191,2.8512037301198165
Ecuador,ECU,2015,47.8993301391602,371,7.7454110302199854
El Salvador,SLV,2015,29.6777305603027,134,4.515170044007343
Guatemala,GTM,2015,23.8755397796631,150,6.282580472914301
Honduras,HND,2015,23.5655307769775,132,5.601401523659219
Mexico,MEX,2015,31.771110534668,1275,40.13079739874832
Nicaragua,NIC,2015,19.7698059082031,126,6.373355438341392
Panama,PAN,2015,58.8828887939453,136,2.3096692907835794
Paraguay,PRY,2015,,141,
Peru,PER,2015,,487,
Uruguay,URY,2015,,140,
Argentina,ARG,2016,109.32640838623,2991,27.358440144062445
Barbados,BRB,2016,,62,
Belize,BLZ,2016,30.2885093688965,2031,67.05513220421635
Brazil,BRA,2016,55.7252883911133,349,6.262865748679664
Chile,CHL,2016,94.3506622314453,569,6.030694290244876
Colombia,COL,2016,61.3053016662598,229,3.7354028734195635
Costa Rica,CRI,2016,58.1474685668945,187,3.215961152029686
Cuba,CUB,2016,40.337329864502,2708,67.13384373969475
Dominican Republic,DOM,2016,69.9590682983398,411,5.874863831051813
Ecuador,ECU,2016,,289,
El Salvador,SLV,2016,29.5919609069824,151,5.102737208752214
Guatemala,GTM,2016,16.2483196258545,83,5.108220536721195
Guyana,GUY,2016,,168,
Haiti,HTI,2016,,86,
Honduras,HND,2016,24.4611206054688,20,0.8176240296827848
Jamaica,JAM,2016,,209,
Mexico,MEX,2016,38.8265113830566,69,1.7771362283687102
Nicaragua,NIC,2016,19.4017887115479,151,7.782787568969099
Panama,PAN,2016,59.8679008483887,11,0.18373786025764852
Paraguay,PRY,2016,,694,
Peru,PER,2016,74.6067581176758,62,0.8310239120993382
Suriname,SUR,2016,,208,
Uruguay,URY,2016,,727,
Argentina,ARG,2017,112.828277587891,897,7.950134657521956
Barbados,BRB,2017,,314,
Belize,BLZ,2017,30.9094791412354,152,4.917585291730827
Brazil,BRA,2017,57.3723411560059,58,1.010940094675366
