country,iso3,year,wb_attendance_ratio
Antigua and Barbuda,ATG,2013,
Argentina,ARG,2013,98.1933822631836
Aruba,ABW,2013,23.4720993041992
"Bahamas, The",BHS,2013,
Barbados,BRB,2013,
Belize,BLZ,2013,29.7329292297363
Bermuda,BMU,2013,50.5173492431641
Bolivia,BOL,2013,
Brazil,BRA,2013,51.0449104309082
British Virgin Islands,VGB,2013,
Cayman Islands,CYM,2013,
Chile,CHL,2013,84.185920715332
Colombia,COL,2013,53.9592590332031
Costa Rica,CRI,2013,53.7388305664062
Cuba,CUB,2013,60.5696716308594
Curacao,CUW,2013,32.4694519042969
Dominica,DMA,2013,
Dominican Republic,DOM,2013,
Ecuador,ECU,2013,
El Salvador,SLV,2013,30.3020896911621
Grenada,GRD,2013,
Guatemala,GTM,2013,20.1786098480225
Guyana,GUY,2013,
Haiti,HTI,2013,
Honduras,HND,2013,22.6361999511719
Jamaica,JAM,2013,36.1351890563965
Mexico,MEX,2013,30.025239944458
Nicaragua,NIC,2013,18.1024322509766
Panama,PAN,2013,
Paraguay,PRY,2013,
Peru,PER,2013,
Puerto Rico,PRI,2013,108.785263061523
Sint Maarten (Dutch part),SXM,2013,
St. Kitts and Nevis,KNA,2013,
St. Lucia,LCA,2013,19.1007099151611
St. Martin (French part),MAF,2013,
St. Vincent and the Grenadines,VCT,2013,28.2777423858643
Suriname,SUR,2013,
Trinidad and Tobago,TTO,2013,
Turks and Caicos Islands,TCA,2013,
Uruguay,URY,2013,
"Venezuela, RB",VEN,2013,
Virgin Islands (U.S.),VIR,2013,
Antigua and Barbuda,ATG,2014,
Argentina,ARG,2014,101.44214630127
Aruba,ABW,2014,25.0074291229248
"Bahamas, The",BHS,2014,
Barbados,BRB,2014,
Belize,BLZ,2014,29.8789291381836
Bermuda,BMU,2014,45.2711181640625
Bolivia,BOL,2014,
Brazil,BRA,2014,54.4021911621094
British Virgin Islands,VGB,2014,
Cayman Islands,CYM,2014,
Chile,CHL,2014,88.3447723388672
Colombia,COL,2014,56.8097686767578
Costa Rica,CRI,2014,57.1506309509277
Cuba,CUB,2014,
Curacao,CUW,2014,
Dominica,DMA,2014,
Dominican Republic,DOM,2014,60.9120597839355
Ecuador,ECU,2014,
El Salvador,SLV,2014,29.6984405517578
Grenada,GRD,2014,
Guatemala,GTM,2014,19.3986492156982
Guyana,GUY,2014,
Haiti,HTI,2014,
Honduras,HND,2014,22.8545894622803
Jamaica,JAM,2014,
Mexico,MEX,2014,30.9848003387451
Nicaragua,NIC,2014,18.9397869110107
Panama,PAN,2014,55.3966789245605
Paraguay,PRY,2014,
Peru,PER,2014,
Puerto Rico,PRI,2014,109.835861206055
Sint Maarten (Dutch part),SXM,2014,
St. Kitts and Nevis,KNA,2014,87.9399566650391
St. Lucia,LCA,2014,23.5366802215576
St. Martin (French part),MAF,2014,
St. Vincent and the Grenadines,VCT,2014,33.2687797546387
Suriname,SUR,2014,
Trinidad and Tobago,TTO,2014,
Turks and Caicos Islands,TCA,2014,
Uruguay,URY,2014,
"Venezuela, RB",VEN,2014,
Virgin Islands (U.S.),VIR,2014,
Antigua and Barbuda,ATG,2015,
Argentina,ARG,2015,105.110038757324
Aruba,ABW,2015,23.393009185791
"Bahamas, The",BHS,2015,
Barbados,BRB,2015,
Belize,BLZ,2015,28.8713893890381
Bermuda,BMU,2015,44.0811004638672
Bolivia,BOL,2015,
Brazil,BRA,2015,55.4103889465332
British Virgin Islands,VGB,2015,54.3411598205566
Cayman Islands,CYM,2015,
Chile,CHL,2015,91.1619186401367
Colombia,COL,2015,58.8032112121582
Costa Rica,CRI,2015,59.3170700073242
Cuba,CUB,2015,42.4466781616211
Curacao,CUW,2015,
Dominica,DMA,2015,
Dominican Republic,DOM,2015,66.9892501831055
Ecuador,ECU,2015,47.8993301391602
El Salvador,SLV,2015,29.6777305603027
Grenada,GRD,2015,100.615760803223
Guatemala,GTM,2015,23.8755397796631
